naam gen,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
AHCYL2,548.0772629,0.537221223,0.434338716,1.2368716,0.216134755,0.375982454
AHCYP2,0.862198038,1.021137338,3.402780174,0.300089129,0.764109171,NA
AHCYP3,0,NA,NA,NA,NA,NA
AHCYP4,0.562617486,1.462426249,3.442897764,0.424766098,0.671007194,NA
AHCYP5,3.920807863,3.399380489,2.367989091,1.435555806,0.151128778,0.293706863
AHCYP7,1.567926361,0.620769811,3.364976223,0.184479702,0.853637149,NA
AHCYP8,0,NA,NA,NA,NA,NA
AHDC1,1175.734657,-2.725011685,0.462811195,-5.887955416,3.91E-09,1.95E-07
AHI1,2374.453031,0.885513165,0.283665983,3.121675554,0.00179825,0.010881732
AHNAK,184654.6939,-1.045220934,0.319839222,-3.267957342,0.001083267,0.00730445
AHNAK2,5795.505498,-0.902746414,0.632168,-1.428016625,0.153287073,0.296679378
AHR,4898.132578,0.576603178,0.324580512,1.776456556,0.075657696,0.182499251
AHRR,48.67681519,-1.468054179,0.670905811,-2.188167334,0.028657416,0.091497231
AHSA1,364.6091558,-1.075999919,0.397415438,-2.707494012,0.006779329,0.030588825
AHSA2P,1617.288698,0.299901995,0.555394777,0.539979861,0.589210921,0.728899813
AHSG,6.876756322,-6.013591577,2.620154313,-2.295128782,0.021725745,0.074138222
AHSP,11.04230223,20.54315432,3.342893933,6.14532041,NA,NA
AICDA,63.86647103,-0.845979936,0.525657023,-1.609376265,0.107534092,0.232098101
AIDA,1923.445577,-0.189346014,0.379253942,-0.499259185,0.617596805,0.751285989
