naam gen,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ATP6V0A1,1279.452095,0.032456964,0.461446488,0.070337439,0.943925085,0.96955091
ATP6V0A2,925.4038358,0.324276243,0.26712684,1.213941071,0.224770228,0.386219715
ATP6V0A4,0.11312447,0.249520541,3.488895048,0.0715185,0.942985101,NA
ATP6V0B,459.4972402,1.083237287,0.499435266,2.168924304,0.030088431,0.094926144
ATP6V0C,248.3469078,-1.616570852,0.47790108,-3.382647415,0.000717907,0.005268441
ATP6V0CP1,7.068590941,-2.485890088,2.233007474,-1.113247545,NA,NA
ATP6V0CP2,0,NA,NA,NA,NA,NA
ATP6V0CP3,0.418804915,-1.33644295,3.467756705,-0.385391209,0.699947594,NA
ATP6V0CP4,1.175449277,0.468196816,3.385698525,0.138286623,0.890013897,NA
ATP6V0D1,815.6970806,-0.04424502,0.295047369,-0.149959041,0.880796931,0.930645435
ATP6V0D2,55.00414562,-0.637464393,0.533460106,-1.194961696,0.232101996,0.395140172
ATP6V0E1,1393.662157,1.072105608,0.320897683,3.340957767,0.000834899,0.005927811
ATP6V0E1P1,10.27531928,1.842740573,1.266887972,1.454541059,0.145796359,0.286266233
ATP6V0E1P2,1.295982398,1.279823679,2.832457068,0.451842216,0.651382655,NA
ATP6V0E1P3,0.163585981,0.655091054,3.469333198,0.188823332,0.850231285,NA
ATP6V0E1P4,0,NA,NA,NA,NA,NA
ATP6V0E2,250.8253252,0.488954569,0.391595263,1.248622276,0.211803261,0.370815692
ATP6V1A,1567.941421,1.456919238,0.332930247,4.376049491,1.21E-05,0.000192308
ATP6V1B1,9.574497246,-1.893535839,1.805621133,-1.048689454,0.29432107,0.461713098
ATP6V1B2,1694.540571,1.044809465,0.416922177,2.50600597,0.012210356,0.04799649
ATP6V1C1,1433.275636,0.872114874,0.293183894,2.974634321,0.00293338,0.015980509
ATP6V1C2,37.40101543,1.842330815,1.030865971,1.787168136,0.073910318,0.179281974
ATP6V1D,433.0559451,0.755025054,0.290972472,2.594833277,0.009463681,0.03961712
ATP6V1E1,664.289914,0.107040072,0.391861054,0.27315823,0.784731587,0.869713937
ATP6V1E1P1,0,NA,NA,NA,NA,NA
ATP6V1E1P2,0,NA,NA,NA,NA,NA
ATP6V1E1P3,2.303816924,-4.454532525,3.412405841,-1.305393535,0.191758879,NA
ATP6V1E2,57.6336167,0.557034552,0.496442326,1.1220529,0.261839948,0.427479198
ATP6V1F,301.6340774,-1.165233259,0.537905103,-2.166243177,0.030292609,0.095344015
ATP6V1FNB,22.74151631,-1.27972535,1.130420963,-1.132078572,0.257601403,0.422722675
ATP6V1G1,821.8093939,0.173752072,0.493633131,0.351986244,0.724848579,0.828327593
ATP6V1G1P1,0,NA,NA,NA,NA,NA
ATP6V1G1P2,0,NA,NA,NA,NA,NA
ATP6V1G1P3,0,NA,NA,NA,NA,NA
ATP6V1G1P4,7.536412325,0.12196481,1.756365453,0.06944159,0.944638124,0.969905569
ATP6V1G1P5,1.022604658,0.129983884,3.397005007,0.03826426,0.969476986,NA
ATP6V1G1P6,4.364206183,1.82707472,2.079768968,0.878498885,0.379673042,0.549209286
ATP6V1G1P7,11.21279853,1.653605148,1.295201077,1.276716934,0.201702201,0.358284203
ATP6V1G2,2.66832632,-0.291003617,2.559173181,-0.113710013,0.909467674,0.948722191
ATP6V1G2-DDX39B,1.292356958,3.19658354,3.351070464,0.953899231,0.340134653,NA
ATP6V1G3,0.399846242,1.672980633,3.438034981,0.486609544,0.626535059,NA
ATP6V1H,467.8436685,0.378689817,0.292057887,1.296625886,0.194759941,0.349407816
ATP7A,1045.599467,0.098283013,0.319268716,0.307837905,0.758205677,0.85108726
ATP7B,2550.526083,2.355393426,0.991270929,2.376134876,NA,NA
ATP7BP1,0,NA,NA,NA,NA,NA
ATP8A1,839.6016859,2.723560081,0.585648423,4.650503568,3.31E-06,6.50E-05
ATP8A2,148.9652182,-0.312909035,0.420594044,-0.743969249,0.456895079,0.617964386
ATP8A2P2,34.82107069,2.213624193,1.350570869,1.639028535,0.101207317,0.222881897
ATP8A2P3,8.347031283,2.186482601,1.203133733,1.817322996,0.069167671,0.171679037
ATP8B1,917.3978534,0.425939929,0.437212452,0.974217287,0.329948663,0.498284207
ATP8B2,2748.937038,-0.427661509,0.283888203,-1.506443398,0.131953387,0.267298444
ATP8B3,91.89671672,0.323844666,0.410362123,0.789168025,0.430013808,0.595213142
ATP8B4,1149.480542,2.006714931,0.356628616,5.626903845,1.83E-08,7.64E-07
ATP8B5P,1.524015703,0.790650388,2.5568883,0.309223672,0.757151388,NA
ATP9A,1345.500269,-0.692720395,0.411103162,-1.685028139,0.091983143,0.208818386
ATP9B,5700.611735,-0.148088162,0.227984077,-0.649554847,0.515979807,0.669320238
ATPAF1,298.8701947,-0.23542869,0.38330643,-0.614204907,0.539079931,0.688534671
ATPAF2,183.2247974,0.429342594,0.628074733,0.683585203,0.494237131,0.651002252
ATPSCKMT,278.731078,0.747613452,0.525821378,1.421801173,0.155083979,0.299111961
ATR,1932.623354,2.055934261,0.494156681,4.160490669,3.18E-05,0.000424961
ATRAID,361.5833857,-0.667103817,0.43056072,-1.549383828,0.121289479,0.252032686
ATRIP,66.93644739,-0.209223054,0.567036132,-0.368976582,0.71214518,0.819404625
ATRN,1585.044139,0.603798563,0.378838367,1.593815769,0.110977305,0.236964711
ATRNL1,88.21608655,-1.419864157,1.135583386,-1.250338966,0.21117575,0.370198107
ATRX,4129.062149,0.227695843,0.239876327,0.949221815,0.342507809,0.511785311
ATXN1,3264.107149,0.920404757,0.304309075,3.024572165,0.002489851,0.014047858
ATXN10,1193.945983,0.592713113,0.261235698,2.268882534,0.02327547,0.078103265
ATXN1L,1296.892348,-0.353224095,0.268558424,-1.315259786,0.188422608,0.341448549
ATXN2,1095.791432,-0.19989731,0.247768193,-0.806791652,0.419786529,0.586437004
ATXN2L,673.1586277,-1.378572971,0.434628483,-3.171842219,0.001514753,0.009551757
ATXN3,1172.200477,-0.133931266,0.24878315,-0.538345406,0.590338609,0.729833924
ATXN3L,0,NA,NA,NA,NA,NA
ATXN7,1685.606152,0.965210676,0.304296174,3.171944832,0.001514218,0.009551757
ATXN7L1,422.6120588,0.775240545,0.415846914,1.864245035,0.062287302,0.159900413
ATXN7L2,50.85050414,-0.433163426,0.97281021,-0.44527023,0.656124479,0.780177026
ATXN7L3,369.8947607,-0.193940096,0.531969522,-0.364569938,0.715432459,0.821927706
ATXN7L3B,991.3359734,0.561263335,0.254022989,2.209498197,0.027140008,0.087663148
ATXN7L3P1,0.168956663,0.68756567,3.467977495,0.198261284,0.842840641,NA
AUH,227.2128995,0.327120712,0.401234146,0.815286322,0.414908436,0.581776323
AUNIP,29.81312527,-0.951459305,0.792671707,-1.200319497,0.23001528,0.392660503
AUP1,493.2893806,0.147593788,0.397513503,0.371292515,0.710419672,0.818585166
AURKA,34.15125752,3.589439617,0.860873091,4.169533995,3.05E-05,0.000409821
AURKAIP1,174.4876784,-2.661796735,0.913980359,-2.912312841,0.003587631,0.018671558
AURKAP1,40.51685386,1.510282627,1.158896527,1.303207483,0.192503936,0.346639211
AURKAP2,1.649310731,-4.698951017,3.423583781,-1.372524033,0.169900363,NA
AURKB,21.41392643,-1.160312187,1.073853432,-1.080512622,0.279913969,0.446498775
AURKBP1,0,NA,NA,NA,NA,NA
AURKC,11.20620535,-1.853396508,1.547314268,-1.197815174,0.230988979,0.393682302
AUTS2,2220.766463,-0.271608507,0.330862061,-0.820911607,0.411696619,0.578493227
AVEN,235.2572747,0.209596244,0.387644292,0.540692198,0.588719757,0.728603474
AVIL,161.9646769,-0.422997981,0.682357437,-0.61990675,0.535319181,0.685340559
AVL9,1468.585883,1.356617599,0.353132204,3.841670575,0.0001222,0.001277683
AVP,1.248474827,-4.320162244,3.435390119,-1.257546332,0.208555873,NA
AVPI1,100.5762903,-0.484731358,0.891928317,-0.543464478,0.586810042,0.727365748
AVPR1A,489.7067019,-0.968161772,0.491851775,-1.968401501,0.049021859,0.13466268
AVPR1B,8.357764591,0.491096383,1.316450769,0.373045764,0.709114384,0.817710468
AVPR2,12.47063049,-3.184484941,1.134225362,-2.807629813,0.004990756,0.023995825
AWAT1,13.11497349,-0.290597927,1.447307267,-0.200785233,0.84086651,0.904471876
AWAT2,5.282800124,-3.484541602,2.25009206,-1.548621794,0.121472664,0.252360572
AXDND1,2.438645104,1.245980083,2.050314501,0.607701932,0.543385182,NA
AXIN1,388.4373927,-1.571376944,0.371309633,-4.231985393,2.32E-05,0.000326174
AXIN2,245.3616154,-0.440050999,0.539860743,-0.815119463,0.415003932,0.581828392
AXL,4353.99125,-1.720145236,0.45217282,-3.804176541,0.000142277,0.001444427
AZGP1,36.98694542,-2.825930128,1.880315367,-1.502902214,0.132864262,0.268570612
AZGP1P1,3.745304947,-3.51242419,2.561617937,-1.371174108,0.170320688,0.318695964
AZGP1P2,0,NA,NA,NA,NA,NA
AZI2,801.5173917,0.811162041,0.299769053,2.705956577,0.006810795,0.030703243
AZIN1,2023.931016,0.63022208,0.339697915,1.855242709,0.063561575,0.161962204
AZIN2,284.2172907,-0.448735565,0.45153044,-0.993810216,0.320315271,0.488937841
AZU1,3.630214202,0.598402184,1.307329683,0.457728598,0.647147439,0.773104856
AZU1P1,0.05452866,-0.429187652,3.524031954,-0.121788808,0.903066278,NA
B2M,30972.80683,1.54202386,0.3985539,3.869047221,0.000109261,0.001171901
B3GALNT1,388.8911983,0.193078565,0.31662002,0.609811613,0.541986608,0.690831105
B3GALNT1P1,32.7190999,2.094857064,1.444692854,1.450036288,NA,NA
B3GALNT2,577.5295043,0.618843699,0.337444996,1.833909841,0.066667379,0.167711438
B3GALNT2P1,1.294921676,3.177719787,3.40028449,0.93454527,0.350022695,NA
B3GALT1,124.7105258,-2.264949276,0.460654213,-4.916810074,8.80E-07,2.04E-05
B3GALT2,120.0015737,2.329051447,1.179761644,1.974171189,0.048362281,0.133386847
B3GALT4,49.03121314,-1.949162845,0.662150756,-2.94368439,0.003243306,0.017258679
B3GALT5,48.09050913,-0.327698662,0.885804477,-0.36994469,0.711423702,0.819146735
B3GALT6,104.2029035,-0.402202509,0.657633192,-0.61159095,0.540808427,0.689802738
B3GALT9,147.2631899,0.125964795,0.590785085,0.213215936,0.831158539,0.89867524
B3GAT1,170.3980987,0.606181959,0.578485112,1.047878237,0.29469471,0.461978685
B3GAT2,45.36841355,0.510487834,1.006295637,0.507294095,0.611948482,0.747408458
B3GAT3,87.92372864,-2.698597633,0.569901273,-4.735201974,2.19E-06,4.52E-05
B3GAT3P1,0,NA,NA,NA,NA,NA
B3GLCT,265.2251851,0.561402742,0.339265194,1.654760796,0.097973029,0.217704639
B3GNT2,624.0224531,1.859943877,0.467805671,3.97588997,7.01E-05,0.000817097
B3GNT2P1,0,NA,NA,NA,NA,NA
B3GNT3,16.48433779,0.864792699,1.005516844,0.860047949,0.389762612,0.55801513
B3GNT4,28.46928747,0.085906388,0.972919403,0.088297538,0.929640196,0.96076794
B3GNT5,248.4694797,-0.673832898,0.500581967,-1.346099026,0.178270583,0.328971508
B3GNT6,10.45278479,-2.818654456,1.224767739,-2.301378756,0.021370232,0.073323799
B3GNT7,261.3381165,-1.437414104,0.380090709,-3.781765958,0.00015572,0.001557119
B3GNT8,42.09648037,-1.155392022,0.82984761,-1.39229421,0.163833324,0.310638327
B3GNT9,204.9554343,-2.159498154,0.76079732,-2.838467087,0.004533079,0.022355941
B3GNTL1,142.8220565,1.539860756,0.870446254,1.769047485,0.076885951,0.184457823
B3GNTL1P1,0.771452873,1.125946689,3.407717335,0.330410823,0.741089565,NA
B3GNTL1P2,0,NA,NA,NA,NA,NA
B4GALNT1,19.39290524,-3.746161287,1.337155462,-2.801589938,0.005085146,0.024291503
B4GALNT2,1215.769996,1.78220607,0.612368532,2.910348881,0.003610255,0.018767218
B4GALNT2P1,0,NA,NA,NA,NA,NA
B4GALNT3,588.7126879,-1.435307927,0.408058088,-3.517410801,0.000435779,0.00355378
B4GALNT4,3.850319523,-2.963071989,2.812313501,-1.053606573,0.292063079,0.459479701
B4GALT1,1267.016538,0.893765745,0.448006787,1.994982602,0.046044777,0.128637637
B4GALT2,315.8352017,-0.884680969,0.677005981,-1.306755028,0.191295923,0.345337203
B4GALT3,86.72747713,-0.985063419,1.095529502,-0.899166491,0.368563986,0.537939925
B4GALT4,490.9678874,1.569384779,0.363751984,4.314436344,1.60E-05,0.000241153
B4GALT5,735.3618632,0.892405546,0.384824212,2.318995321,0.02039529,0.070788762
B4GALT6,71.31620112,-0.426586602,0.861658829,-0.495075995,0.620546478,0.753222367
B4GALT7,183.3776526,-0.264501495,0.658553154,-0.401640314,0.687948756,0.803278812
B4GAT1,97.54536947,-2.690482709,0.614104601,-4.381147292,1.18E-05,0.000188464
B9D1,312.3018381,-1.342396876,0.5703224,-2.353750923,0.01858506,0.066220069
B9D2,40.80111059,-0.131370909,0.733260015,-0.179160062,0.857812023,0.915676102
BAALC,44.81540731,2.252100221,0.924329858,2.436468109,0.014831477,0.0558182
BAAT,220.4449016,1.05669937,0.357893084,2.952555992,0.003151549,0.016883294
BABAM1,353.4247537,-1.418205943,0.435795679,-3.254290971,0.001136758,0.007598329
BABAM2,586.9754051,1.447340491,0.422376751,3.426657566,0.000611059,0.004653899
BACE1,1033.116768,-0.22794498,0.314385496,-0.725049286,0.468421795,0.627932107
BACE2,692.5070257,0.435979691,0.348182392,1.252158927,0.210511959,0.369261718
BACH1,2565.126813,1.529471479,0.355206656,4.305863792,1.66E-05,0.000248523
BACH2,356.6323461,1.214489957,0.571217754,2.126141823,0.033491452,0.102578506
BAD,224.5004473,-3.784404902,0.91012506,-4.15811526,3.21E-05,0.00042854
BAG1,867.9220205,-0.592402972,0.440481774,-1.344897807,0.178658238,0.329332707
BAG1P1,8.751151264,-6.42747709,2.019465631,-3.182761316,0.001458778,0.009260292
BAG2,554.9783139,0.498162772,0.312961463,1.591770333,0.111436318,0.237711011
BAG3,324.7628457,-1.016680637,0.369454957,-2.75183921,0.005926161,0.027407517
BAG4,395.4808283,-0.639150568,0.341381238,-1.872248665,0.061172209,0.157895177
BAG5,838.441564,0.277014854,0.342328242,0.8092083,0.418395342,0.585160007
BAG6,1010.865605,-2.063039067,0.413030207,-4.994886651,5.89E-07,1.46E-05
BAGE2,24.36341361,-0.486661204,0.958013813,-0.507989758,0.611460526,0.747007624
BAHCC1,970.1328511,-3.8588159,0.617294633,-6.251173575,4.07E-10,2.71E-08
BAHD1,283.663172,-0.890798997,0.368181647,-2.41945519,0.015543776,0.05788097
BAIAP2,530.459107,-1.917323682,0.477647054,-4.014101342,5.97E-05,0.000715893
BAIAP2L1,130.2378564,0.427016154,0.477251687,0.894739957,0.370926114,0.540477622
BAIAP2L2,82.05601653,0.100036373,0.51958305,0.192532017,0.847325491,0.908470343
BAIAP3,22.26000264,-0.100495958,1.068169184,-0.094082435,0.925043673,0.958700858
BAK1,146.0307626,-1.079835331,0.470484162,-2.295157666,0.02172409,0.074138222
BAK1P1,4.927469012,0.734238703,2.153815215,0.340901438,0.733177783,0.833694429
BAK1P2,0,NA,NA,NA,NA,NA
BAMBI,32.40100108,-0.118865823,1.212163474,-0.098060885,0.921883947,0.956768896
BANF1,289.7284035,-1.787556237,0.530432884,-3.369995132,0.000751695,0.005466101
BANF1P1,2.745533912,2.491082233,2.490113529,1.00038902,0.317122282,0.485682554
BANF1P2,2.685216773,-0.217441535,3.298478904,-0.06592176,0.947440116,0.971260076
BANF1P3,14.41796396,2.029732551,1.444271861,1.405367372,0.159912064,0.305352101
BANF1P4,6.156639175,1.903989085,1.837397179,1.036242521,0.300089014,0.467605099
BANF1P5,4.501341394,-3.457984008,2.359279438,-1.465694971,0.142731405,0.282053665
BANF2,0.677208459,2.344771766,3.420469387,0.685511694,0.493021084,NA
BANK1,815.3865122,3.16656756,0.822480871,3.850019705,0.000118108,0.001245099
BANP,479.6424558,0.270029348,0.418379951,0.645416559,0.518657275,0.671221354
BAP1,673.8638723,-1.36877045,0.320545487,-4.270128592,1.95E-05,0.00028516
BARD1,351.2521221,0.638352645,0.557888054,1.144230711,0.25252797,0.417678689
BARHL1,5.655877026,-2.877816346,1.661911433,-1.731630392,0.083339391,0.195127304
BARHL2,0,NA,NA,NA,NA,NA
BARX1,20.92560527,-2.048307794,1.733867568,-1.181351928,NA,NA
BARX2,30.76396432,-0.956845506,0.652019798,-1.467509895,0.142237399,0.281467994
BASP1,1510.085592,-1.38816989,0.512875382,-2.706641687,0.006796757,0.030653821
BASP1P1,0.203786964,-2.435806626,3.505680231,-0.694817116,0.487169921,NA
BATF,57.83552568,1.684769073,0.678486885,2.483126956,0.013023466,0.050559754
BATF2,27.9790297,-2.352203923,1.266161898,-1.857743411,0.063205461,0.161332482
BATF3,71.91793661,-0.036998251,0.719131648,-0.051448509,0.958968132,0.977799313
BAX,185.8250825,-3.467578634,0.361183588,-9.60059855,7.95E-22,7.92E-19
BAZ1A,1328.8806,0.599834137,0.356023174,1.684817678,0.092023753,0.208845644
BAZ1B,2345.084712,-0.647987759,0.282563668,-2.293245143,0.021833895,0.074418127
BAZ2A,1697.843512,-0.372126949,0.299752178,-1.241448692,0.214440041,0.374012971
BAZ2B,3345.285327,0.816753703,0.255080584,3.201943832,0.001365036,0.008794008
BBC3,81.53022284,-1.798822251,0.617474514,-2.913192709,0.003577537,0.018629543
BBIP1,649.8463703,0.887291035,0.36315224,2.443303215,0.014553504,0.054981725
BBIP1P1,2.032267499,1.345250078,2.381168978,0.564953639,0.572105298,NA
BBLN,158.5005224,-1.258930479,1.023555623,-1.229958051,0.218712814,0.378847606
BBOF1,90.65054424,0.202365411,0.51320943,0.394313509,0.693349591,0.807328749
BBOX1,6.538304924,5.577512555,2.2894239,2.436207884,0.014842152,0.055837296
BBS1,336.2675491,-1.603015724,0.339179643,-4.72615546,2.29E-06,4.69E-05
BBS10,265.7471685,-0.189444247,0.526137295,-0.360066182,0.718797641,0.824347531
BBS12,83.35247019,0.62715089,0.526798035,1.19049588,0.233851549,0.397000087
BBS2,833.6652592,0.004923801,0.469794789,0.010480749,0.991637726,0.995600325
BBS4,251.7344714,0.830941762,0.627366116,1.324492574,NA,NA
BBS5,569.5432387,-1.447351381,0.370203724,-3.909607834,9.24E-05,0.001021209
BBS7,177.0323691,0.305885003,0.465268932,0.657436983,0.510899978,0.664633305
BBS9,873.78633,0.605091941,0.376183712,1.60850117,0.10772546,0.232410512
BBX,2652.182835,0.618574892,0.286286562,2.160684339,0.030719731,0.096262883
BCAM,407.9264851,-2.109339894,0.53491419,-3.94332387,8.04E-05,0.000909363
BCAN,8.888023521,0.211362583,1.772129601,0.119270387,0.905061144,0.945907021
BCAP29,618.9226962,0.593011647,0.376665694,1.574371272,0.115401641,0.243388336
BCAP31,531.2371861,-1.429936611,0.72652133,-1.968196322,0.049045453,0.134680801
BCAP31P1,0,NA,NA,NA,NA,NA
BCAP31P2,0,NA,NA,NA,NA,NA
BCAR1,576.6498541,-1.952839543,0.501942408,-3.890564957,0.000100011,0.001088494
BCAR1P1,0,NA,NA,NA,NA,NA
BCAR1P2,0,NA,NA,NA,NA,NA
BCAR3,346.4627867,0.360001509,0.265984953,1.353465692,0.175906903,0.326270488
BCAS1,34.90792236,0.652488668,0.761204976,0.857178669,0.391346149,0.559661282
BCAS2,220.4709942,0.134661748,0.326858753,0.411987585,0.680348523,0.797546546
BCAS2P1,2.966934155,2.724323716,1.893985489,1.438407914,0.150318348,0.292466584
BCAS2P2,26.43722054,2.757489823,1.162826453,2.37136833,0.01772236,0.063901473
BCAS2P3,0,NA,NA,NA,NA,NA
BCAS3,883.5132056,0.985346608,0.373026586,2.641491638,0.008254184,0.035731694
BCAS4,41.27140553,-0.350830177,0.7292874,-0.481058876,0.630474655,0.761142779
BCAT1,6519.364263,0.409286552,0.38273928,1.069361243,0.284906924,0.45171431
BCAT2,123.5469822,-4.01796073,0.870472248,-4.615840127,3.92E-06,7.51E-05
BCCIP,487.8588999,-0.012808663,0.286367803,-0.044728015,0.964324103,0.980302758
BCDIN3D,146.3681086,-0.76757461,0.444911312,-1.725230602,0.084485923,0.196863949
BCHE,11.74095894,1.742048069,1.754251641,0.993043431,0.32068879,0.489265726
BCKDHA,211.8058215,-0.629000627,0.523597234,-1.201306245,0.229632429,0.392273452
BCKDHB,325.6055393,0.278536972,0.287181166,0.969899858,0.332096411,0.500573053
BCKDK,147.3990163,-1.854392138,0.480721441,-3.857519092,0.000114544,0.001216128
BCL10,495.6844885,0.683608767,0.267832431,2.55237487,0.010699133,0.043483494
BCL11A,614.065141,2.162097998,0.72239663,2.992951388,0.002762938,0.015243556
BCL11B,308.470486,3.14830759,0.655195126,4.805145007,1.55E-06,3.34E-05
BCL2,1034.241841,1.633346684,0.45226501,3.611481424,0.000304453,0.002674223
BCL2A1,123.3357439,6.712282935,0.717276417,9.358014259,8.12E-21,6.75E-18
BCL2L1,1125.111515,0.971266773,0.345249876,2.813228447,0.004904679,0.023684766
BCL2L10,1.814488366,1.379096074,2.217315358,0.621966591,0.533963837,NA
BCL2L11,607.9254773,1.721325302,0.371764027,4.630155624,3.65E-06,7.08E-05
BCL2L12,30.87573756,-0.454719618,1.147833463,-0.396154697,0.69199091,0.806217526
BCL2L12P1,0.171642004,0.703531671,3.467321407,0.202903506,0.839210454,NA
BCL2L13,1031.001111,-0.584334755,0.306096252,-1.90899023,0.056263352,0.148745025
BCL2L14,55.13227409,-0.205831276,0.559041256,-0.368186201,0.712734399,0.819704169
BCL2L15,189.5904849,-0.375953233,0.528771274,-0.710994056,0.477087919,0.635159647
BCL2L2,1503.376765,-3.00732241,0.486010668,-6.187770365,6.10E-10,3.78E-08
BCL2L2-PABPN1,76.9773049,4.405154289,1.203864284,3.659178486,0.000253025,0.002310012
BCL3,192.9808768,-1.309698395,0.554708058,-2.361058897,0.018222836,0.065127287
BCL6,1515.507744,-0.180678287,0.556865914,-0.324455642,0.7455931,0.841273239
BCL6B,111.0154356,-0.198557043,0.888898699,-0.223374208,0.823244277,0.893704341
BCL7A,188.4740958,-0.063297336,0.38599608,-0.163984401,0.869743424,0.922998443
BCL7B,299.416784,-1.210268966,0.442748398,-2.733536636,0.006265815,0.028687506
BCL7C,418.762875,-1.497957982,0.475776466,-3.148449091,0.001641393,0.010112376
BCL9,261.7208284,0.143081289,0.603405808,0.237122824,0.812561506,0.887724896
BCL9L,1066.361635,-2.373703535,0.469085212,-5.060282166,4.19E-07,1.09E-05
BCL9P1,9.733212849,4.625110382,2.551602618,1.81262958,0.069888972,0.172745043
BCLAF1,3374.008551,1.324957793,0.339564827,3.901928846,9.54E-05,0.001048932
BCLAF1P1,0.057214001,-0.429187652,3.524031954,-0.121788808,0.903066278,NA
BCLAF1P2,0.227552472,1.021566879,3.455584064,0.295627848,0.767514304,NA
BCLAF3,621.603369,0.421984326,0.291308527,1.448582131,0.147454314,0.28869713
BCO1,3.018928627,-0.658811374,2.368882605,-0.278110605,0.780927455,0.867122155
BCO2,174.2430915,0.619745776,0.512161604,1.210059033,0.226256241,0.388004059
BCOR,662.8914754,-0.132103033,0.374773319,-0.352487827,0.724472446,0.828048246
BCORL1,301.3477658,-1.292230142,0.432850767,-2.985394135,0.002832132,0.015539315
BCORP1,45.50011745,-1.203579405,0.637023047,-1.889381256,0.058840761,0.153543505
BCR,1413.994269,-0.787753479,0.426742736,-1.845968104,0.064896837,0.164523589
BCRP1,0.453723136,1.822005275,3.434985773,0.530425858,0.595816702,NA
BCRP2,43.42726612,-0.677995737,0.600853529,-1.128387708,0.259156217,0.424594561
BCRP4,0,NA,NA,NA,NA,NA
BCRP5,0,NA,NA,NA,NA,NA
BCRP6,0,NA,NA,NA,NA,NA
BCRP7,0,NA,NA,NA,NA,NA
BCRP8,0.394230748,0.973524282,3.43273558,0.283600137,0.776716832,NA
BCRP9,0,NA,NA,NA,NA,NA
BCS1L,138.1253369,-0.059244659,0.51324635,-0.115431233,0.908103324,0.948042944
BDH1,223.0434608,0.002028777,0.33572961,0.006042889,0.995178502,0.997028648
BDH2,674.9597745,0.407885715,0.316892469,1.287142345,0.198044678,0.353899699
BDH2P1,0.163585981,0.655091054,3.469333198,0.188823332,0.850231285,NA
BDKRB1,70.28727407,-1.295569501,0.6222508,-2.082069643,0.037336109,0.110945555
BDKRB2,412.71184,-1.617900869,0.46108485,-3.508900519,0.000449963,0.003639682
BDNF,36.48257263,0.983971522,0.857850536,1.147019767,0.251373451,0.416463253
BDP1,2544.831142,0.419906562,0.277943796,1.510760697,0.130849432,0.265845406
BDP1P,2.856719187,3.390725811,2.44539087,1.386578258,0.165570402,0.312920213
BEAN1,115.0087104,0.564252292,0.640391579,0.881105109,0.378260932,0.547603625
BECN1,730.929653,-0.849806933,0.405813396,-2.094082998,0.036252587,0.108616129
BECN1P2,0.305680446,-2.736494129,3.503106139,-0.781162209,0.434707098,NA
BECN2,0.156422142,-1.278251891,3.510398242,-0.364133014,0.715758685,NA
BEGAIN,252.5685406,-2.675940095,0.526973799,-5.077937647,3.82E-07,1.00E-05
BEND2,87.06873846,0.244380665,0.886217046,0.275757125,0.782734616,0.868451701
BEND3,113.4751198,0.627118812,0.450529633,1.391959075,0.163934791,0.310788221
BEND3P1,62.7514044,-0.105461188,0.484829057,-0.217522416,0.82780124,0.89639803
BEND3P2,1.304528045,1.746949892,3.384066903,0.516227942,0.605695217,NA
BEND3P3,184.1023687,-0.016617887,0.4254359,-0.039060847,0.968841876,0.982491007
BEND4,32.29572646,2.395313737,1.840173219,1.301678403,0.193026345,0.347360316
BEND5,65.40526216,-0.481859575,0.630545579,-0.764194677,0.444751238,0.60780637
BEND6,327.3828711,0.532513509,0.48281536,1.102934068,0.270055798,0.436392136
BEND7,116.8786283,-0.068782478,0.600170509,-0.114604895,0.9087583,0.948404063
BEND7P1,2.51289946,3.591884911,2.57698797,1.393830687,0.163368739,NA
BEST1,449.0545414,0.514525582,0.324680889,1.584711632,0.113031868,0.240194225
BEST2,16.53848947,0.530468401,1.131126025,0.468973738,0.639088408,0.767267808
BEST3,90.09622939,0.31163622,0.938005666,0.332232769,0.739713501,0.838089207
BEST4,27.9292888,0.554964652,0.964385098,0.575459589,0.564980513,0.709124163
BET1,385.5218695,0.634164671,0.413887822,1.532213894,0.125469661,0.258247168
BET1L,541.0995952,-0.887612683,0.529657155,-1.675824966,0.093772482,0.211579668
BET1P1,0.050946741,-1.671625818,3.514876906,-0.475585878,0.634369439,NA
BEX1,4.98429204,-4.067827639,1.883384659,-2.159849619,0.030784313,0.096410455
BEX2,7.775381101,5.875362386,1.884406734,3.117884415,0.001821542,0.011005584
BEX3,395.0679427,-1.687056337,0.48884007,-3.451141673,0.00055822,0.004325829
BEX4,182.2359407,-0.57955773,0.681277772,-0.850692263,0.394940322,0.563022138
BEX5,12.85804201,0.665610391,1.299144064,0.512345328,0.608409347,0.744603116
BFAR,530.0529451,-0.222749268,0.313240252,-0.711113167,0.477014111,0.63513752
BFSP1,56.4772725,-1.662397979,0.894566031,-1.85832898,0.063122311,0.161218143
BFSP2,2.964659335,2.700537169,1.950094584,1.384823685,0.166106387,0.313606216
BGLAP,6.546531687,-0.898072315,1.523061872,-0.589649266,0.555425815,0.701503473
BGN,8600.334297,-2.111413689,0.605823103,-3.485198367,0.000491772,0.003917478
BHLHA15,125.8808683,3.663821018,1.067272938,3.432881024,0.000597204,0.004574588
BHLHA9,0.050946741,-1.671625818,3.514876906,-0.475585878,0.634369439,NA
BHLHB9,140.7378116,-1.162531973,0.713828047,-1.628588255,0.103400212,0.22584038
BHLHB9P1,5.09210866,4.666072322,1.731194433,2.695290738,0.007032724,0.031483044
