genen/pathways;uitleg wat het doet;bron
SRGN;RGN is betrokken bij ontstekingsprocessen doordat het de productie van TNF-? reguleert en het NF-?B-pathway activeert;Chen, Y., Li, H., Lai, L., Feng, Q., & Shen, J. (2020). Identification of Common Differentially Expressed Genes and Potential Therapeutic Targets in Ulcerative Colitis and Rheumatoid Arthritis. Frontiers in Genetics, 11. https://doi.org/10.3389/fgene.2020.572194
allograf rejection pathway;gedoneerde weefsel afstoot;KEGG_ALLOGRAFT_REJECTION. (n.d.). https://www.gsea-msigdb.org/gsea/msigdb/cards/KEGG_ALLOGRAFT_REJECTION
myogenisis;spieraanmaak;Gonzalez-Ponce, F., Ramirez-Villafa¤a, M., Gomez-Ramirez, E. E., Salda¤a-Cruz, A. M., Gallardo-Moya, S. G., Rodriguez-Jimenez, N. A., Jacobo-Cuevas, H., Nava-Valdivia, C. A., Avalos-Salgado, F. A., Totsuka-Sutto, S., Cardona-Mu¤oz, E. G., & Valdivia-Tangarife, E. R. (2024). Role of myostatin in rheumatoid arthritis: A review of the clinical impact. Diagnostics, 14(11), 1085. https://doi.org/10.3390/diagnostics14111085
IGHV3-53;Voorspelt dat het antigeenbindende activiteit mogelijk maakt. ook dat het betrokken is bij de immunoglobuline-gemedieerde immuunrespons;IGHV3-53 immunoglobulin heavy variable 3-53 [Homo sapiens (human)] - Gene - NCBI. (n.d.). https://www.ncbi.nlm.nih.gov/gene/28420
ADEMDEC1;De expressie ervan wordt verhoogd tijdens de rijping van dendritische cellen. Dit eiwit speelt mogelijk een belangrijke rol in de functie van dendritische cellen en hun interacties met kiemcentrum-T-cellen.;ADAMDEC1 gene information - The Human Protein Atlas. (n.d.). https://www.proteinatlas.org/ENSG00000134028-ADAMDEC1/summary/gene
interferon gamma respons;Genen worden omhoog gereguleerd als reactie op IFNG;HALLMARK_INTERFERON_GAMMA_RESPONSE. (n.d.). https://www.gsea-msigdb.org/gsea/msigdb/cards/HALLMARK_INTERFERON_GAMMA_RESPONSE
